ничего не VP,Вася ничего не ел,Not a construction,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ничего Adj-Gen,Ничего хорошего,Characteristics Assessment Intensity,,,,,Clause,Clause,,,,,,,,,,,,,,,,
оно и XP,оно и понятно,Discourse,,,,,Clause,Clause,,,,,,,,,,,,,,,,
оставить-Imper NP-Acc в покое!,оставь меня в покое,Add Light verb Activity Causation Direct Request,,,,,Clause,Clause,,,,,,,,,,,,,,,,
по-VP-Past и будет,погуляли и будет,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
пока что Cl,пока что мы видели только один магазин,Time Not Clause but Adv?,,,,,Clause,Clause,,,,,,,,,,,,,,,,
почему бы (и) не VP-Inf,Почему бы не пройтись,Activity Causation Indirect Wish,,,,,Clause,Clause,,,,,,,,,,,,,,,,
при NP-Loc Cl,При таком росте он может стать хорошим баскетболистом,Prep not Clause Activity Condition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
пусть XP,пусть идёт,Activity Causation Direct Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
руки не доходят Cl,руки не доходят крышу починить,Time Not Clause,,,,,Clause,Clause,,,,,,,,,,,,,,,,
с какой стати NP (должен/нужно) VP,с какой стати я должен тебе помогать,Interrogative,,,,,Clause,Clause,,,,,,,,,,,,,,,,
с Pron-Gen хватит,с меня хватит,Discourse. Прекращение действия,,,,,Clause,Clause,,,,,,,,,,,,,,,,
с Pron-Gen хватит NP-Gen.Plur,с меня хватит врачей,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
смотря SCONJ VP,смотря где ты живёшь,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
станет Pron-Nom VP-Inf,Станет он посуду мыть,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
такой NP как/какой/который XP Cl,"Таких домов, как ваш, много",I agree,Characteristics,Comparison,,,Clause,Clause,,,,,,,,,,,,,,,,
"такой NP, как NP-Nom, Cl","такому человеку, как он, не стыдно признаться в своей неправоте",I agree,Characteristics,Comparison,,,Clause,Clause,,,,,,,,,,,,,,,,
того и гляди VP-Perf,того и гляди конфеты съест,I agree,Activity,Apprehension,,,Clause,Clause,,,,,,,,,,,,,,,,
тоже мне NP-Nom,тоже мне герой,Add Negative,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
только и знать что Cl,"он только и знает, что болтать лишнее",Activity Exclusivity,,,,,Clause,Clause,,,,,,,,,,,,,,,,
"только и NP-Gen.Plur, что Cl","только и разговоров, что о доме",I agree,Characteristics,Exclusivity,,,Clause,Clause,,,,,,,,,,,,,,,,
только NP-Dat NP-Gen (ещё) не хватало,только дождя не хватало,Characteristics Assessment Negative Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
у NP-Gen есть NP-Nom,У Паши есть кот,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
