ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
219,нести ответственность за NP-Acc,родители несут ответственность за детей," = они ответственны. Это скорее характеристика, чем действие субъекта, и в этом специфика этой конструкции.",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
355,человек NP-Gen,человек трудной судьбы,,Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
442,NP в NP-Acc,у него была тетрадь в клетку,"Можно добавить в описание конструкции, что речь идет о расцветке предмета.",Characteristics,Categorisation,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
459,NP цвета NP-Gen,девушка с глазами цвета неба,"Пересмотреть дефиницию. На мой взгляд, можно ее сформулировать точнее и конкретнее.",Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
522,NP-Nom иметь вес при/в NP-Loc,Он имел большой вес в обществе,"Light verb -> not about activity, it is Characteristics",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
271,под видом NP-Gen,она приехала в город под видом туриста,,Characteristics,Comparison,Hidden comparison,Categorisation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
498,NP-Ins NP-Nom в NP-Acc,лицом она в мать,,Characteristics,Comparison,Sameness,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,NP-Nom весь в NP-Acc,,,Characteristics,Comparison,Sameness,,,,,,,,,,,,,,,,,,,,,,,
,будто NP-Nom,,,Characteristics,Comparison,,Categorisation,,,,,,,,,,,,,,,,,,,,,,
191,наи-А-ший из NP-Gen.Plur,наименьший из зол,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
192,наиболее/наименее Adj из NP-Gen.Plur,август наиболее жаркий месяц из всех летних месяцев,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
