,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
152,как это Cl,Как это он не приедет?,,Discourse,Reaction to the previous discourse,,Unexpected outcome,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
153,"как NP, так и NP","его сказки про животных любят как взрослые, так и дети.",Дефиницию лучше переписать.,Characteristics,Comparison,Sameness,Options,,Conj ,,,,,,,,Conj,,,,,,,,,,,,
154,"как VP, так и VP","Как услышал, так и записал",,Characteristics,Comparison,Sameness,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
155,как-никак NP,как-никак поджог,Примеры нужно подобрать лучше и понятнее. Пошлешь прямым текстом для уровня A2 это точно нонсенс. Уровень конструкции скорее C1. Similar to все-таки.,Characteristics,Categorisation,,Attitude,,Part,,,,,,,,,,Part,,,,,,,Reduplication,,Reduplication,
156,как-то/что-то Cl,что-то мне душно,,Discourse,Degree of certainty,,,,Part,,,,,,,,,,Part,,,,,,,,,,
157,каков Noun-Nom!,каков подлец!,,Characteristics,Assessment,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
158,какое NP-Dat дело до NP-Gen,"в конце концов, какое ей дело до его отношений с Ритой!",,Characteristics,Attitude,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
159,какой (там) XP!,какое веселье!,Equals No,Characteristics,Assessment,,Reaction to the previous discourse,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
160,какой ещё NP?,Какую ещё машину ты купил?,,Characteristics,Assessment,,Reaction to the previous discourse,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
161,какой из Pron-Gen NP-Nom?,какой из тебя учитель?,,Characteristics,Assessment,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
162,какой такой NP-Nom,Какая такая причина у нее обижаться?,,Characteristics,Assessment,,Reaction to the previous discourse,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
163,какой там VP-Past!,Какой там поел!,Equals No,Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
164,какой угодно NP,какой угодно подарок,,Characteristics,Quantification,Universal,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
165,какой VP-Inf.Imp!,какой спать!,Equals No,Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
166,"какой, к чёрту, NP","Какой, к чёрту, сон! Мне нужно работать!",Equals No,Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
167,когда бы ни VP-Past Cl,"Когда бы я ни зашёл, вы всегда на месте.",,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
168,кому какое дело до NP-Gen,кому какое дело до твоей проблемы,,Characteristics,Attitude,,,Assertive / Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
169,краснеть за NP-Acc,мама краснела за оценки сына,,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
170,кроме того XP,"он, кроме того, плавает",,Discourse,Additive,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
171,кто-то вроде NP-Gen,"Я не хочу, чтобы кто-то вроде тебя распространял ложь моим друзьям",см. 380,Characteristics,Similarity,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
172,куда Adj-Сmp,"куда веселее было бы поехать в деревню, а не в другую страну",,Characteristics,Comparison,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,,,,
173,куда NP-Dat до NP-Gen,Куда Оле до моей дочки. Она ведь такая красивая!,,Characteristics,Comparison,,Intensity,Assertive / Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
174,"ладно (бы) Cl, но/так (ещё и) Cl","Ладно дети шумят, но взрослые!",Similar to 223,Characteristics / Activity,Assessment,Negative,Concession,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
175,"ладно (бы) NP Cl, но NP!","ладно бы он, но ты-то что в нем нашла","Compare to N 176, too similar",Characteristics,Comparison,,Concession,,Conj,,,,,,,,Conj,,,,,,,,,,,,
176,ладно бы Cl,ладно бы он поел кашу с утра,"Compare to N 175, too similar",Characteristics / Activity,Condition,,Attitude,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
177,ладно Pron-2.Dat VP-Inf,Ладно вам сердиться,,Activity,Prohibition,,Wish,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
178,легко сказать VP-Imper,"Легко сказать, потерпи",,Discourse,Attitude,,Reaction to the previous discourse,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
179,лучше VP-Imper,лучше не говори мне про это,,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
180,мало (ли) SCONJ Cl,Мало (ли) чего он попросит!,,Discourse,Attitude,,Reaction to the previous discourse,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
181,мастак VP-Inf|на NP-Acc,мастак на выдумки,"В формуле должна быть косая черта, а не прямая черта. (сравни 188)",Characteristics,Assessment,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
182,"может быть, Cl","может быть, он уехал в Африку",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
183,мочь-Past бы и не VP-Inf.Imp,Мог бы и не спрашивать о моём настроении,"Сравни с 184, слишком похожи, отличие только в наличии отрицания",Activity,Prohibition,,Attitude,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
184,мочь-Past бы и VP-Inf,мог бы и написать,"Сравни с 183, слишком похожи, отличие только в наличии отрицания.",Activity,Causation,Indirect,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
185,на основе NP-Gen,Они действовали на основе инструкции,,Activity,Manner,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
186,на что NP-Dat NP-Nom?,на что мне эти книги?,,Characteristics,Purpose,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
187,на Num-Acc рублей,"На сто рублей можно купить хлеб и колбасу
",,Characteristics,Measure,Money,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
188,на Pron-Gen месте Cl/на месте NP-Gen Cl бы,на его месте я бы поступила в другой университет,,Discourse,Source of opinion,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
189,надо же было VP-Inf,надо же было связаться с такими людьми!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
190,"надо же, Cl","надо же, уже приготовили обед",,Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
191,наи-А-ший из NP-Gen.Plur,наименьший из зол,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
192,наиболее/наименее Adj из NP-Gen.Plur,август наиболее жаркий месяц из всех летних месяцев,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
193,найти-Past NP-Acc!,Нашли развлечение!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
194,не вздумай VP-Inf,не вздумай обманывать родителей!,,Activity,Prohibition,,Threat,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
195,не грех и VP-Perf.Inf,теперь не грех нам и отдохнуть,,Characteristics,Assessment,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
196,не иначе как XP,дома кошку называли не иначе как Охотница,,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
197,"не кто иной, как NP (Cl)","Это был не кто иной, как директор школы.",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
198,не мочь не VP-Inf,Не могу не согласиться,,Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
199,"не пройти и (Num-Gen) NP-Gen, как Cl","не пройдёт и трех месяцев, как мы вернёмся домой",,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
200,не смей VP-Inf.Imp,не смей ругаться,,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
201,не совсем VP-Past,он не совсем оправился от смерти родителей,means оправился,Activity,Result,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
202,не стоит VP-Inf,не стоит разговаривать с ним,,Activity,Prohibition,,,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
203,"не столь(ко) Adj, сколь(ко) Adj","травмы оказались не столько тяжёлыми, сколько сложными",,Characteristics,Comparison,,,,Conj / Adj,,,,,,Adj,,Conj,,,,,,,,,Negation,Negation,,
204,не так уж (и) Adj-Short,не так уж и страшно,,Characteristics,Comparison,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
205,не такой уж и Adj,не такой уж и страшный,,Characteristics,Comparison,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
206,"не то чтобы Adv-Cmp/Adj-Cmp NP-Gen.Plur, но Adv-Cmp/Adj-Cmp","он не то чтобы умнее других одноклассников, но просто внимательнее.",,Characteristics,Comparison,,,,Conj,,,,,,,,Conj,,,,,,,,,Negation,Negation,,
207,не то чтобы Cl а/но Cl,"он не то чтобы расстроился, но огорчился",,Characteristics,Comparison,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
208,не то XP не то XP,"Он пошел не то к себе на дачу, не то на станцию.",,Discourse,Options,,Degree of certainty,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,,,,,Negation,Negation,,
209,"не что иное как, NP-Nom","Это не что иное, как ложь.","Конструкция не выходит при поиске, только при поиске слов не что иное.",Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
210,"не Noun, а Noun-ище","это было не болото, а болотище","Перепроверить примеры, неужели правильно ручища и речища, а не ручищи и речищи?",Characteristics,Categorisation,,Comparison,,Conj / Nominal pattern,Clause,,,,,,,Conj,,,,,Nominal pattern,,,,Reduplication and Negation ,Negation,Reduplication,
211,"не Noun, а NP","Не дом у них, а столярная мастерская.","Почему в первом случае именная группа обозначена как Noun, а во втором случае как NP? Скорее, NPв обоих случаях, судя по примеру номер один. То есть формула должна быть не NP, а NP.",Characteristics,Categorisation,,,,Conj,,,,,,,,Conj,,,,,,,,,Negation,Negation,,
212,не NP-Nom какой-нибудь,Мы не бомжи какие-нибудь!,,Characteristics,Assessment,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
213,не VP ни NP-Gen,не говорил ни слова,,Activity,Intensity,Low,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
214,не VP-Inf же!,не уезжать же домой!,,Activity,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
215,не-ADV бы VP-Inf,неплохо бы отдохнуть,,Activity,Causation,Indirect,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
216,невесть SCONJ,невесть откуда он пришел вчера,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
217,незнамо SCONJ,незнамо как я вернулся домой,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
218,нельзя ли VP-Inf?,нельзя ли сделать музыку потише?,,Activity,Causation,Indirect,Request,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
219,нести ответственность за NP-Acc,родители несут ответственность за детей," = они ответственны. Это скорее характеристика, чем действие субъекта, и в этом специфика этой конструкции.",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
220,нести NP-Acc,он понес большие убытки на работе,"Конструкции 220 и 221 нужно развести в плане формулы, сейчас они имеют одну и ту же формулу записи нести NP-Acc. Дефиниции тоже слишком похожи, отличие только по ограничению сочетаемости. Стоит ли тогда соединить эти конструкции в одну?",Characteristics,Temporary state,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
221,нести NP-Acc,он несет наказание за совершенные преступления,"Конструкции 220 и 221 нужно развести в плане формулы, сейчас они имеют одну и ту же формулу записи нести NP-Acc. Дефиниции тоже слишком похожи, отличие только по ограничению сочетаемости. Стоит ли тогда соединить эти конструкции в одну?",Characteristics,Temporary state,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
222,нет бы VP-Inf,Нет бы сделать домашнее задание пораньше,"Конструкции 222 и 223 слишком похожи в записи. Может быть, это одна конструкция, где вторая клауза факультативна? нет (что)бы VP-Inf, (Cl).  Также можно еще VP-Past (нет бы сказал). ",Activity,Causation,Indirect,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
223,"нет чтобы/бы VP-Inf, Cl","нет чтобы подождать, он ушел без нас!","Конструкции 222 и 223 слишком похожи в записи. Может быть, это одна конструкция, где вторая клауза факультативна? нет (что)бы VP-Inf, (Cl).     Также Similar to 174.",Characteristics / Activity,Assessment,Negative,Options,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
224,нет-нет да и VP-Perf,нет-нет да и скажет что-нибудь,,Activity,Time,Periodicity,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication and Negation ,Negation,Reduplication,
225,неужели (не) VP,неужели он сыт?,"Иллюстрация плохо соответвует записи конструкции, сыт не репрезентативно для VP. В примерах конструкции даются глаголы. Нужно исправить либо формулу, либо заменить иллюстрацию.",Discourse,Degree of certainty,,Unexpected outcome,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
226,нечего VP-Inf,Нечего баловать детей,similar: Погуляли и будет. Даже не думай. Ладно вам сердиться,Activity,Prohibition,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
227,ни за какие NP-Nom.Pl не VP,ни за какие деньги не продам дом,Similar to 213,Activity,Condition,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
228,ни за что не VP,ни за что не поеду в театр,Третий пример очень непонятный. Нужно заменить.,Activity,Condition,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
229,ни капли NP-Gen нет,ни капли сострадания к ней нет,,Activity,Non-existence,,Intensity,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
230,ни с того ни с сего Cl,ни с того ни с сего Вася неожиданно закричал,,Activity,Unexpected outcome,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
231,ни слова NP-Dat о NP-Dat!,ни слова маме о нашей поездке!,,Activity,Prohibition,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
232,нигде не VP,таких вкусных сыров уже нигде не купишь,,Activity,Location,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
233,никак не VP-Imp,я никак не контролирую его действия,"Сравни с конструкцией (всё) никак не VP-Imp , слишком похожая запись! Либо соединить, либо получше развести.",Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
234,никак VP?,Он никак стал врачом?,,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,Negation,Negation,,
235,никакой NP не VP-Fut,никакая скорая помощь не проедет,,Activity,Antiresultative,,Intensity,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
236,никакой PRON не (быть-Past) XP,Никакой он не гений,"В приведенных в конструктиконе примерах запись конструкции дается то с восклицательным знаком, то без него. Нужно унифицировать. В принципе, восклицательный знак подходит, но тогда нужно его добавить и в главную запись конструкции, и в ключевую иллюстрацию.",Characteristics,Assessment,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
237,никогда не VP,я никогда не был в Африке,,Activity,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
238,"никто иной, (кроме NP-Gen), не Cl","Никто иной, кроме тебя, не знает этой дороги",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
239,ничего не VP,Вася ничего не ел,,Activity,Antiresultative,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
240,ничего себе NP-Nom,Ничего себе машина. Она слишком большая!,,Characteristics,Assessment,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
241,ничего Adj-Gen,Ничего хорошего,,Characteristics,Assessment,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
242,ничего NP-Nom,в нашем университете он был ничего профессор,,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,Negation,Negation,,
243,ничего Pron-Nom не Cl,ничего оно не огромное,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
244,ничем не Adj-Cmp NP-Gen,он ничем не хуже тебя,,Characteristics,Comparison,Sameness,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
245,"ничто иное, кроме NP-Gen, Cl","Ничто иное, кроме экзаменов, меня не интересует",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
246,ничуть не Adj-Cmp/Adv-Cmp,ты ничуть не лучше своей сестры,,Characteristics,Comparison,Sameness,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
247,носить Adj-Acc характер-Acc,большинство звонков носило консультационный характер,,Characteristics,Categorisation,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
248,носить NP-Acc NP-Gen,она носит фамилию мужа,,Characteristics,Naming,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
249,"ну и что, что XP","ну и что, что холодно",,Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
250,ну и NP-Nom!,ну и ночь!,,Characteristics,Assessment,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
251,ну/так уж (и) Cl,Ну уж пошел!,,Characteristics,Assessment,,Reaction to the previous discourse,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
252,обойтись в Num-Acc NP-Gen,Новая сумка обошлась в тысячу рублей,,Characteristics,Measure,Money,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
253,один NP,От него одни проблемы,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,,,,,,,,
254,одинаково XP,Он относится ко всем одинаково внимательно,,Characteristics,Comparison,Sameness,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
255,оно и XP,оно и понятно,"Может быть, скорее Adj, а не XP в записи конструкции.",Discourse,Reaction to the previous discourse,,Emphasis,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
256,оставить-Imper NP-Acc в покое!,оставь меня в покое,,Activity,Causation,Direct,Request,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
257,от имени NP-Gen,от имени министерства поздравляю вас с юбилеем,,Subject,Subject switch,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
258,от/из NP-Gen нести NP-Ins,от него несёт алкоголем,,Characteristics,Assessment,Negative,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
259,ох и AP-Short NP-Nom!,ох и умны девушки!,,Characteristics,Assessment,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
260,ох уж этот NP-Nom!,ох уж этот хулиган!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
261,переделать NP-Acc под NP-Acc,Однако после революции они переделали церковь под крематорий.,,Activity,Transformation of object,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
262,переименовать NP-Acc в NP-Acc,переименовать Ленинград в Санкт-Петербург,,Activity,Transformation of object,,Naming,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
263,по крайней мере Cl,по крайней мере он не врал,,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
264,по мнению NP-Gen,по мнению властей,,Discourse,Source of opinion,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
265,по словам NP-Gen,по словам учителя,,Discourse,Source of information,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
266,по NP-Dat,по утрам он бегал,,Activity,Time,Periodicity,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
267,по Num-Acc (NP-Gen) NP-Gen,он сочинял по несколько стихотворений в год,"Из нашего обсуждения с Валей и Дашей: family with 268. название конструкции надо изменить! заменить NP-Gen на ""в NP-Acc"" (?) См. в Конструктиконе: выпили [ [по]по [несколько]Number [банок]Container [пива]Theme ] Мама раздала всем по 4 конфеты. MOVE THESE TO A DIFFERENT CONSTRUCTION.  Конструкция указывает на [количество]Number [чего-либо]Theme при распределении, обозначении цены или последовательности. Конструкция также может иметь дополнительный актант.",Characteristics,Distribution,,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
268,по Num-Acc NP-Gen за NP-Acc,В Сочи мимозу можно продать по два рубля за один килограмм,Из нашего обсуждения с Валей и Дашей: family with 267.,Characteristics,Distribution,,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
269,по-VP-Past и будет,погуляли и будет,,Activity,Prohibition,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
270,по-XP-ее(ей),к сыну надо относиться помягче,Переделать запись с Comp ?,Characteristics,Comparison,,,,Adj / Adv,,,,,,Adj,Adv,,,,,,,,,,,,,
271,под видом NP-Gen,она приехала в город под видом туриста,,Characteristics,Comparison,Hidden comparison,Categorisation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
272,под NP-Ins,Маша живет под Москвой,Дефиницию можно было бы переписать поточнее.,Characteristics / Activity,Location,,,,Prep,,,,,,,,,Prep,,,,,,,Выражение характеристики объекта/субъекта,,,,
273,подумаешь (какой) Cl,"Подумаешь, какой умник!",,Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
274,пойти VP,пошли посмотрим фильм,,Activity ,Causation,Direct,Purpose,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
275,пока что Cl,пока что мы видели только один магазин,,Activity,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
276,попасть в NP-Acc,его мама попала в сумасшедший дом,"EXAMPLES: попасть в тюрьму, в плохую компанию НО ЕЩЕ [ [Попасть]попасть [в]в [театр]Location]",Activity ,Location,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
277,почему бы (и) не VP-Inf,Почему бы не пройтись?!,,Activity,Causation,Indirect,Wish,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
278,при условии NP-Gen,Я могу помочь Вам при условии подписания особого соглашения,,Activity,Condition,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
279,при NP-Loc Cl,При таком росте он может стать хорошим баскетболистом,,Activity,Condition,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
280,принять-Past NP-Acc за NP-Acc,он принял того мужчину за своего отца,,Activity,Similarity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
281,пришлось VP-Inf,пришлось выпить лекарство,,Activity,Necessity,,Causation,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
282,просьба VP-Inf,просьба не курить,,Activity,Prohibition,,Request,,Nominal pattern / Clause,Clause,,,,,,,,,,,,,,,,,,,
283,пускай XP,"пускай вода холодная, всё равно буду плавать",Дефиниция для 283 и 284 дана одна и та же. Стоит ли соедить их в одну конструкцию?,Activity,Concession,,,Assertive,Biclausal / Conj,,Biclausal,,,,,,Conj,,,,,,,,,,,,
284,пусть XP,пусть идёт,can be also пускай ,Activity,Causation,Direct,Attitude,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
285,ради бога VP,"Ради бога, успокойся!",Конструкция не выходит при поиске в конструктиконе. Выходит только на слово ради. Отладить поиск. Modal exclamation?,Activity,Request,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
286,"раз (уж) Cl, (то) Cl","Раз (уж) мы встретились, давайте обсудим эту проблему",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
287,разве не NP-Nom?,разве не красота?,,Characteristics,Assessment,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
288,размером|величиной с NP-Acc,Собака была размером с лошадь,"Может быть, нужно заменить прямую черту на косую черту в записи конструкции, как, например, в случае 290.",Characteristics,Measure,Size,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
289,рассказывай Cl,"рассказывай, не было денег!",,Discourse,Reaction to the previous discourse,,Attitude,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
290,речь/выступление перед NP-Ins,речь перед враждебно настроенной аудиторией,,Activity,Location,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
291,рублей Num-Acc,У Маши было рублей сто на книги.,,Characteristics,Measure,Money,Approximation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
292,руки не доходят Cl,руки не доходят крышу починить,,Activity,Attitude,,Time,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
293,с какой стати NP (должен/нужно) VP,с какой стати я должен тебе помогать,,Activity,Cause,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
294,с Pron-Gen хватит,с меня хватит,"Может быть, имеет смысл просто соединить 294 и 295 в конструкцию, где объект факультативен, и записать как с Pron-Gen хватит (NP-Gen.Plur)",Characteristics,Attitude,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
295,с Pron-Gen хватит NP-Gen.Plur,с меня хватит врачей,"Может быть, имеет смысл просто соединить 294 и 295 в конструкцию, где объект факультативен, и записать как с Pron-Gen хватит (NP-Gen.Plur)",Characteristics,Attitude,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
296,"само собой, Cl","само собой, мы придем на твой концерт",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
297,самый AP в NP-Loc,самый старый в мире,Superlative,Characteristics,Comparison,,Intensity,,Adj,,,,,,Adj,,,,,,,,,,,,,,
298,самый AP за NP-Acc,самый лучший за последний год,Superlative,Characteristics,Comparison,,Intensity,,Adj,,,,,,Adj,,,,,,,,,,,,,,
299,самый AP из NP-Gen,август – самый жаркий из месяцев,Superlative,Characteristics,Comparison,,Intensity,,Adj,,,,,,Adj,,,,,,,,,,,,,,
